user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
coasm_bin.259	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mariniflexile;s__Mariniflexile maritimum	GCF_009746565.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mariniflexile;s__Mariniflexile maritimum	98.52	0.839	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.260	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAEKA01;f__JAAEKA01;g__JAAEKA01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAEKA01;f__JAAEKA01;g__JAAEKA01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.52	11	0.96654	N/A
coasm_bin.261	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__Flexifilum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__Flexifilum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.54	11	0.9895	N/A
coasm_bin.262	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Phreatobacteraceae;g__Phreatobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Phreatobacteraceae;g__Phreatobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.18	11	0.98026	N/A
coasm_bin.265	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.78	11	0.82336	N/A
coasm_bin.268	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.46	11	0.99609	N/A
coasm_bin.27	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.83	11	0.89337	N/A
coasm_bin.271	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__Casimicrobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__Casimicrobium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.71	11	0.99294	N/A
coasm_bin.277	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__Dokdonella sp017302215	GCA_017302215.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__Dokdonella sp017302215	98.86	0.831	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.278	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__CAIVKH01;f__CAIVKH01;g__CALMUP01;s__CALMUP01 sp937872895	GCA_937872895.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__CAIVKH01;f__CAIVKH01;g__CALMUP01;s__CALMUP01 sp937872895	98.94	0.916	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_937894535.1, s__CALMUP01 sp937894535, 95.0, 87.11, 0.364	N/A	N/A	N/A	N/A
coasm_bin.279	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Xinfangfangia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Xinfangfangia;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.86	11	0.98243	N/A
coasm_bin.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-5;g__JADKFD01;s__JADKFD01 sp937928755	GCA_937928755.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-5;g__JADKFD01;s__JADKFD01 sp937928755	97.29	0.785	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.280	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_A;s__Mesorhizobium_A sp002336975	GCA_002336975.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_A;s__Mesorhizobium_A sp002336975	99.82	0.821	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.286	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.89	11	0.96166	N/A
coasm_bin.289	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Phreatobacteraceae;g__Phreatobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Phreatobacteraceae;g__Phreatobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.18	11	0.97349	N/A
coasm_bin.290	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__SCUB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__SCUB01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.4	11	0.95691	N/A
coasm_bin.293	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__Arctic95D-9 sp016795385	GCA_016795385.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__Arctic95D-9 sp016795385	97.42	0.848	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002396885.1, s__Arctic95D-9 sp002396885, 95.0, 83.16, 0.169; GCA_023253615.1, s__Arctic95D-9 sp023253615, 95.0, 90.3, 0.425	N/A	N/A	N/A	N/A
coasm_bin.298	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIVAT01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIVAT01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	65.14	11	0.95764	N/A
coasm_bin.305	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__JAEUWI01;g__JAEUWI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__JAEUWI01;g__JAEUWI01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	48.44	11	0.95428	N/A
coasm_bin.31	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__JAAKGP01 sp016704435	GCA_016704435.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__JAAKGP01 sp016704435	99.09	0.959	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_018058035.1, s__JAAKGP01 sp018058035, 95.0, 83.81, 0.162	N/A	N/A	N/A	N/A
coasm_bin.312	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.94	11	0.99514	N/A
coasm_bin.313	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JACKCG01;s__JACKCG01 sp937974245	GCA_937974245.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JACKCG01;s__JACKCG01 sp937974245	98.79	0.912	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_020634135.1, s__JACKCG01 sp020634135, 95.0, 90.82, 0.742	N/A	N/A	N/A	N/A
coasm_bin.314	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__SCN-52-12;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__SCN-52-12;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.02	11	0.98488	N/A
coasm_bin.315	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Villigracilis;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Villigracilis;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	60.83	11	0.99341	N/A
coasm_bin.318	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.79	11	0.93846	N/A
coasm_bin.320	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__JADLGF01;s__JADLGF01 sp020849415	GCA_020849415.1	95.0	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__JADLGF01;s__JADLGF01 sp020849415	97.85	0.703	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.321	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.64	11	0.98783	N/A
coasm_bin.322	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.11	11	0.99755	N/A
coasm_bin.324	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.06	11	0.98146	N/A
coasm_bin.325	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__Flexifilum;s__Flexifilum sp014879865	GCA_014879865.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__Flexifilum;s__Flexifilum sp014879865	98.59	0.871	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.335	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Inhella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Inhella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.62	11	0.98965	N/A
coasm_bin.336	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.29	11	0.98547	N/A
coasm_bin.337	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA9002;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA9002;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.77	11	0.99209	N/A
coasm_bin.338	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.85	11	0.98956	N/A
coasm_bin.340	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.12	11	0.98609	N/A
coasm_bin.347	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp017302455	GCF_017302455.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp017302455	98.27	0.842	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.348	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__JAEUJQ01;s__JAEUJQ01 sp014879945	GCA_014879945.1	95.0	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__JAEUJQ01;s__JAEUJQ01 sp014879945	99.27	0.936	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_030681895.1, s__JAEUJQ01 sp030681895, 95.0, 84.37, 0.263; GCA_022843845.1, s__JAEUJQ01 sp022843845, 95.0, 84.87, 0.313; GCA_016879935.1, s__JAEUJQ01 sp016879935, 95.0, 83.09, 0.161	N/A	N/A	N/A	N/A
coasm_bin.350	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JAFLCM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JAFLCM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.9	11	0.93925	N/A
coasm_bin.358	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JABWBB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JABWBB01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.07	11	0.90081	N/A
coasm_bin.362	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Runella;s__Runella sp003711225	GCF_003711225.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Runella;s__Runella sp003711225	96.0	0.814	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_014195535.1, s__Runella defluvii, 95.0, 93.15, 0.767; GCF_000482465.1, s__Runella limosa, 95.0, 90.37, 0.607; GCA_023254175.1, s__Runella sp023254175, 95.0, 85.61, 0.247	N/A	N/A	N/A	N/A
coasm_bin.364	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp937907555	GCA_937907555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp937907555	98.27	0.806	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_025997995.1, s__Sediminibacterium sp025997995, 95.0, 85.88, 0.39; GCF_000511175.1, s__Sediminibacterium salmoneum, 95.0, 90.33, 0.629; GCF_000508085.1, s__Sediminibacterium sp000508085, 95.0, 91.46, 0.69	N/A	N/A	N/A	N/A
coasm_bin.365	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__JARSSO01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__JARSSO01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.8	11	0.96412	N/A
coasm_bin.367	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_D;s__Luteimonas_D sp020161335	GCA_020161335.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_D;s__Luteimonas_D sp020161335	98.76	0.841	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_029906185.1, s__Luteimonas_D composti, 95.0, 83.26, 0.154; GCF_007859325.1, s__Luteimonas_D marina, 95.36, 84.71, 0.23; GCF_008244685.1, s__Luteimonas_D viscosa, 95.0, 83.56, 0.184; GCF_016774335.1, s__Luteimonas_D saliphila, 95.0, 83.42, 0.189; GCF_029888045.1, s__Luteimonas_D sp029888045, 95.0, 83.21, 0.171; GCF_029887935.1, s__Luteimonas_D sp029887935, 95.0, 83.07, 0.174	N/A	N/A	N/A	N/A
coasm_bin.373	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Leadbetterella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Leadbetterella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.34	11	0.9697	N/A
coasm_bin.383	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__UBA1364;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__UBA1364;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	58.37	11	0.96928	N/A
coasm_bin.385	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__UBA924;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__UBA924;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	61.61	11	0.9421	N/A
coasm_bin.386	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GCA-013693735;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GCA-013693735;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.15	11	0.9715	N/A
coasm_bin.388	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__Absconditicoccaceae;g__JAGOPC01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__Absconditicoccaceae;g__JAGOPC01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	47.21	4	0.95693	N/A
coasm_bin.389	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JANWYT01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JANWYT01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.56	11	0.94026	N/A
coasm_bin.392	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter;s__Gemmobacter caeni	GCF_003054195.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter;s__Gemmobacter caeni	98.92	0.895	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_003570715.1, s__Gemmobacter lutimaris, 95.0, 91.77, 0.689; GCF_008271655.1, s__Gemmobacter caeruleus, 95.0, 83.17, 0.165	N/A	N/A	N/A	N/A
coasm_bin.393	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__IGN3;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__IGN3;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.56	11	0.96435	N/A
coasm_bin.394	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Chelatococcus;s__Chelatococcus asaccharovorans	GCF_003201475.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Chelatococcus;s__Chelatococcus asaccharovorans	98.47	0.865	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930633525.1, s__Chelatococcus sp930633525, 95.0, 84.73, 0.244; GCF_018398315.1, s__Chelatococcus sp018398315, 95.0, 83.26, 0.166; GCF_018398335.1, s__Chelatococcus sp018398335, 95.0, 84.73, 0.235	N/A	N/A	N/A	N/A
coasm_bin.395	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Chiayiivirga;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Chiayiivirga;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.35	11	0.96391	N/A
coasm_bin.399	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.74	11	0.99538	N/A
coasm_bin.40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.65	11	0.99513	N/A
